city;state;date_time;shape
Grandview;MO;17/09/1989 05:37;circle
Moab;UT;15/04/1991 10:00;diamond
W. Wendover;NV;06/06/1991 20:30;triangle
Snyder;TX;15/10/1991 03:00;disk
Indianola;IA;30/04/1992 02:00;unknown
Gastonia;NC;15/06/1992 22:00;sphere
Pinecrest;FL;24/08/1992 23:00;disk
Orange Park;FL;23/10/1992 09:00;circle
Des Moines;IA;15/06/1993 00:00;rectangle
Tracy;CA;15/06/1993 02:00;light
Arlington;TX;01/12/1993 14:00;oval
Redding;CA;01/01/1994 20:00;triangle
Federal Way;WA;15/06/1994 23:00;unknown
Wyoming;MI;10/03/1994 18:00;disk
Hillsboro;OR;15/07/1994 12:00;
Hillsboro;OR;15/07/1994 12:00;cigar
Circleville;OH;15/10/1994 14:00;disk
San Antonio;TX;15/03/1995 06:30;fireball
Sage;CA;15/05/1995 04:30;fireball
Hook Hampshire (UK/England);;07/01/1990 23:00;disk
Los Angeles;CA;01/06/1995 12:00;circle
Ravenna;OH;01/06/1995 12:00;triangle
Los Angeles;CA;01/06/1995 13:00;formation
Ravenna;OH;08/07/1995 23:00;unknown
Glasgow (UK/Scotland);;15/02/1996 19:30;circle
Haslemere (UK/England);;25/08/1995 13:26;teardrop
Perth (Australia);;15/04/1996 21:30;triangle
Kevil;KY;15/03/2019 10:45;circle
;;;
Joplin;MO;20/03/2009 19:30;unknown
LapuLapu (Philippines);;;other
Conway;AR;20/06/1985 12:00;sphere
Puyallup;WA;03/11/1986 22:00;cylinder
Rialto;CA;22/05/1987 03:00;sphere
Minneapolis;MN;22/05/1987 23:30;light
Otisville;MI;10/05/2000 22:00;unknown
Purvis;MS;01/09/2008 15:00;flash
Beaverton;OR;16/04/2015 02:30;disk
Shelby Twp;MI;04/10/2012 21:00;sphere
Penticton;BC;25/10/2017 20:27;light
Champaign;IL;15/11/2017 21:00;circle
Walkerton;VA;21/02/2018 19:00;triangle
Livingston;TX;15/04/2018 06:23;light
Bradford;IA;14/07/2018 22:00;unknown
Baltimore;MD;22/09/2018 21:30;other
Bassano del Grappa (Italy);;05/12/2018 03:00;disk
Addis Ababa (Ethiopia);;03/02/2019 11:00;flash
Spring Hill;FL;17/02/2019 11:30;other
Lafayette;LA;20/02/2019 22:00;disk
Clementon;NJ;22/02/2019 05:00;egg
Hamilton;MT;07/03/2019 21:44;triangle
Concord;NH;12/03/2019 16:03;
Concord;NH;13/03/2019 17:02;
Niland;CA;14/03/2019 07:30;triangle
Harrison;NJ;14/03/2019 08:51;
River Vale;;14/03/2019 11:19;
Concord;NH;14/03/2019 15:52;
Tucson;AZ;14/03/2019 15:55;other
Vero Beach;FL;14/03/2019 20:45;formation
Micco;FL;14/03/2019 21:00;formation
Port Saint Lucie;FL;14/03/2019 21:00;light
Atlanta;TX;14/03/2019 22:30;other
Bloomfield Twp.;MI;15/03/2019 00:15;triangle
East Helena;MT;15/03/2019 03:48;cone
The Woodlands;TX;15/03/2019 06:20;circle
Fresno;CA;15/03/2019 10:00;cigar
Champions Gate;FL;15/03/2019 18:30;circle
Nicosia;;15/03/2019 18:44;light
Richton Park;IL;15/03/2019 19:01;sphere
Mc Alpin;FL;15/03/2019 20:30;sphere
Kissimmee;FL;15/03/2019 20:30;fireball
Near Virgin, UT;UT;15/03/2019 21:10;changing
Monroe;GA;15/03/2019 21:15;triangle
Jenison;MI;15/03/2019 21:38;circle
Fort Lauderdale;FL;15/03/2019 22:52;light
Voorheesville;NY;15/03/2019 23:25;disk
hernando;MS;15/03/2019 23:31;circle
LaPorte;IN;16/03/2019 04:45;circle
