city;state;date_time;shape
Huntington;IN;28/11/2008 17:00;light
Mardela;MD;28/11/2008 17:30;sphere
Elk Grove Village;IL;28/11/2008 18:00;light
Hobbs;NM;28/11/2008 18:30;light
Huntington;NY;28/11/2008 18:30;light
San Antonio;TX;28/11/2008 19:00;disk
Jefferson Hills;PA;28/11/2008 19:00;formation
San Diego;CA;28/11/2008 22:00;rectangle
Malibu;CA;28/11/2008 22:20;flash
Oakville;MO;06/02/2009 19:00;triangle
Reston;VA;06/02/2009 19:20;light
Stephenville;TX;06/02/2009 19:30;unknown
Watkins Glen;NY;06/02/2009 20:00;light
Maysville;NC;06/02/2009 21:00;fireball
Lincoln;NE;06/02/2009 21:00;light
Powder Springs;GA;06/02/2009 22:00;triangle
Louisville;KY;07/02/2009 07:40;oval
Greenwood;SC;07/02/2009 16:45;sphere
Berkeley;CA;07/02/2009 17:29;sphere
Grants Pass;OR;07/02/2009 18:00;circle
Berryville;VA;06/03/2010 02:15;cylinder
Kissimmee;FL;06/03/2010 12:55;disk
Eureka;CA;06/03/2010 20:00;fireball
Rochester;WA;06/03/2010 20:00;triangle
Silverton;OR;06/03/2010 20:35;triangle
Fairfax;VA;06/03/2010 20:45;other
Niles;MI;06/03/2010 21:00;unknown
Englewood;NJ;06/03/2010 21:30;circle
Sullana (Peru);;06/03/2010 22:10;unknown
Cape Neddick;ME;06/03/2010 23:30;circle
London (UK/England);;07/03/2010 00:00;circle
Eloy;AZ;09/11/2009 18:10;disk
Highlands Ranch;CO;09/11/2009 18:15;fireball
Lebanon;MO;09/11/2009 18:20;light
Lakewood;CO;09/11/2009 18:25;sphere
Hesperia;CA;09/11/2009 18:40;disk
Bridgeport;IL;09/11/2009 20:40;light
Seattle;WA;09/11/2009 21:00;triangle
Havre;MT;09/11/2009 21:00;fireball
Norwood;MO;09/11/2009 22:00;light
East Brunswick;NJ;10/11/2009 00:52;disk
Birmingham;AL;10/11/2009 01:00;triangle
Niagara Falls;ON;10/11/2009 06:15;cigar
Sartell;MN;20/12/2009 05:40;light
Cebu City (Philippines);;18/01/2010 21:00;light
Nashville;TN;15/02/2010 05:00;unknown
Sutherlin and Roseburg;OR;15/02/2010 23:00;light
Arkansas;AR;01/03/2010 23:00;unknown
Northwest;NC;06/03/2010 20:00;sphere
Robinson Twp.;PA;12/03/2010 03:22;light
Saint Clair;MI;21/03/2010 02:45;light
Issaquah;WA;21/03/2010 04:00;other
Issaquah;WA;21/03/2010 04:00;circle
Ephrata;WA;26/03/2010 08:30;light
Shepherdsville;KY;27/03/2010 01:00;triangle
Tucson;AZ;24/09/2008 13:00;teardrop
Bloomsburg;PA;24/09/2008 14:20;circle
Kennett;MO;24/09/2008 18:15;cylinder
Lanagan;MO;24/09/2008 21:00;light
Duncan;OK;24/09/2008 21:33;other
Strongsville;OH;24/09/2008 21:45;light
Tallahassee;FL;24/09/2008 22:30;triangle
Jacksonville;FL;24/09/2008 22:35;fireball
Temecula;CA;24/09/2008 23:00;triangle
Starksboro;VT;25/09/2008 00:30;triangle
Warrensburg;MO;25/09/2008 01:00;other
Television broadcast;FL;01/06/2005 12:00;disk
Perth (Australia);;17/05/2006 00:00;light
Maria Elena (Chile);;30/06/2006 09:00;other
Motley;MN;15/07/2007 11:30;unknown
Anderson;IN;15/07/2007 23:00;light
Huntington Beach;CA;21/09/2007 12:00;other
Brownlee;NE;06/10/2007 14:00;oval
Australia;;29/01/2008 20:00;other
Niles;IL;22/06/2008 19:45;chevron
New York;NY;04/07/2008 12:23;sphere
Surfside Beach;SC;25/07/2008 10:30;flash
Fresno;CA;09/07/2009 21:00;light
Vienna (Austria);;09/07/2009 21:45;other
South San Francisco;CA;09/07/2009 22:00;formation
Queensbury;NY;09/07/2009 22:15;oval
Colchester;VT;09/07/2009 22:30;triangle
Seattle;WA;09/07/2009 22:30;light
Brigham City;UT;09/07/2009 23:00;circle
New York;NY;09/07/2009 23:30;light
Pottstown;PA;09/07/2009 23:45;cylinder
Addingham (UK/England);;10/07/2009 00:05;light
Swartz Creek;MI;10/07/2009 00:18;unknown
El Cajon;CA;01/01/2010 00:03;light
Naples;FL;01/01/2010 00:04;sphere
La Mesa;CA;01/01/2010 00:10;triangle
Mount Helix Park;CA;01/01/2010 00:10;circle
London (UK/England);;01/01/2010 00:11;diamond
Northern Ireland;;01/01/2010 00:15;sphere
Leicestershire (UK/England);;01/01/2010 00:15;fireball
Stirlingshire (UK/Scotland);;01/01/2010 00:15;oval
Walsall (UK/England);;01/01/2010 00:20;light
National City;CA;01/01/2010 00:20;formation
Boca Raton;FL;01/01/2010 00:24;fireball
Bromsgrove (UK/England);;01/01/2010 00:24;circle
San Antonio;TX;07/07/2008 00:35;chevron
Nashville;TN;07/07/2008 13:00;unknown
New Palestine;IN;07/07/2008 16:30;other
Seattle;WA;07/07/2008 20:07;changing
New Palestine;IN;07/07/2008 20:30;other
Ontelaunee;PA;07/07/2008 21:15;fireball
Eldridge;IA;07/07/2008 21:20;triangle
Springfield;MO;07/07/2008 22:00;unknown
Southbridge;VA;07/07/2008 22:50;diamond
Lutz;FL;07/07/2008 22:05;triangle
Indianapolis;IN;07/07/2008 23:00;disk
Tecumseh;ON;28/11/2008 22:30;diamond
Sioux City;IA;28/11/2008 23:15;oval
Spring Lake;MI;28/11/2008 23:25;rectangle
Dumont;NJ;28/11/2008 23:45;flash
Wausau;WI;29/11/2008 00:30;light
Glen Ellyn;IL;29/11/2008 02:52;chevron
Dallas;TX;29/11/2008 03:00;sphere
Buhl;ID;29/11/2008 17:00;diamond
Montreal;QC;29/11/2008 18:00;oval
Sanibel Island;FL;29/11/2008 20:00;formation
Vernon;TX;29/11/2008 20:00;light
Plano;TX;29/11/2008 21:00;disk
Belmar and Wall Twp.;NJ;07/02/2009 19:30;formation
Morton;NC;07/02/2009 19:30;light
Parsippany;NJ;07/02/2009 20:08;light
Leicestershire (UK/England);;07/02/2009 21:51;light
Canby;MN;07/02/2009 22:30;
Grand Rapids;MI;08/02/2009 12:15;triangle
Ashburn;VA;08/02/2009 14:15;changing
Erin;WI;08/02/2009 14:30;egg
Ward;AR;08/02/2009 15:00;unknown
Franklin;WI;08/02/2009 17:30;light
West Branch;MI;08/02/2009 17:50;cigar
Mansfield (UK/England);;07/03/2010 01:00;light
Cramerton;NC;07/03/2010 19:00;triangle
Dunstable (UK/England);;07/03/2010 19:15;circle
Longwood;FL;07/03/2010 20:00;flash
Liverpool;NY;07/03/2010 21:17;changing
Missoula;MT;07/03/2010 21:20;triangle
Dyersburg;TN;08/03/2010 15:45;fireball
Green Bay;WI;08/03/2010 19:20;circle
Dunmurry (Northern Ireland);;08/03/2010 19:30;light
Middlefield;OH;09/03/2010 02:35;triangle
Riesel;TX;09/03/2010 03:00;sphere
Bethlehem;PA;09/03/2010 07:57;cylinder
Eastland;TX;10/11/2009 07:30;flash
Long Beach;CA;10/11/2009 08:20;
Boston;MA;10/11/2009 09:15;oval
Columbia;MO;10/11/2009 17:00;sphere
Austin;TX;11/11/2009 00:00;other
Vincennes;IN;11/11/2009 00:30;triangle
Ṣo Paulo (Brazil);;11/11/2009 00:45;rectangle
Monroe;GA;11/11/2009 01:20;circle
Noblesville;IN;11/11/2009 10:00;other
Manchester (UK/England);;11/11/2009 15:45;flash
Monterey;CA;11/11/2009 17:35;disk
Marysville;WA;11/11/2009 18:00;light
Smith's Ferry;ID;;disk
Panama City;FL;;light
La Habra;CA;07/07/1970 20:00;sphere
Powell;WY;05/07/1973 01:00;
Warm Springs;OR;22/07/1973 09:00;disk
Somersworth;NH;16/08/1974 19:30;disk
Lisle;IL;31/12/1975 22:30;light
Grand Rapids;MI;01/09/1977 20:00;cone
Austin;TX;15/11/1979 21:00;triangle
Citrus Heights;CA;01/11/1983 20:00;disk
Burbank;CA;28/03/2010 21:50;disk
Germany;;30/03/2010 22:10;circle
Norfolk;VA;01/04/2010 00:00;cigar
Wallaceburg;ON;02/04/2010 03:00;light
Vancouver;WA;02/04/2010 15:55;triangle
Las Vegas;NV;03/04/2010 20:15;light
Lakeridge;VA;05/04/2010 22:30;sphere
Columbus;OH;06/04/2010 04:32;triangle
Toronto;ON;06/04/2010 23:30;cigar
Pomona;CA;08/04/2010 21:45;fireball
Yuma;AZ;09/04/2010 21:00;circle
Mashantucket;CT;10/04/2010 05:15;cross
Austin;TX;25/09/2008 01:30;triangle
Clinton;MI;25/09/2008 02:09;sphere
Hartford City;IN;25/09/2008 06:15;oval
Williamsburg;OH;25/09/2008 06:16;sphere
Bethel;OH;25/09/2008 10:00;circle
Roscoe;IL;25/09/2008 14:35;disk
London (UK/England);;25/09/2008 16:15;sphere
Bradford;VT;25/09/2008 20:00;unknown
Las Vegas;NV;25/09/2008 20:30;unknown
Shrewsbury (UK/England);;25/09/2008 20:55;light
Granby;MO;25/09/2008 21:00;circle
Houston;TX;27/08/2008 12:25;cylinder
Russell;NY;14/09/2008 22:25;unknown
Texas City;TX;01/10/2008 20:00;other
Flagstaff;AZ;15/10/2008 00:00;oval
Indian Ocean;;20/10/2008 02:00;unknown
Arvada;CO;23/12/2008 12:00;triangle
Austin;TX;06/03/2009 00:30;other
High Point;NC;27/04/2009 23:00;fireball
Pittsburgh;PA;09/06/2009 20:40;light
Barstow;CA;16/06/2009 01:15;oval
Worcester;VT;21/06/2009 23:00;other
Burlington;VT;26/06/2009 01:30;circle
Charleston;WV;10/07/2009 00:35;light
Frankfort;NY;10/07/2009 02:30;circle
Tonopah;AZ;10/07/2009 10:30;triangle
Humble;TX;10/07/2009 10:35;fireball
Greenwich;NY;10/07/2009 21:00;light
Barnwell;SC;10/07/2009 21:15;circle
Eau Claire;WI;10/07/2009 22:15;light
Salt Lake City;UT;10/07/2009 23:15;disk
Holly Hill;FL;10/07/2009 23:29;egg
;;10/07/2009 00:00;
Kent;WA;11/07/2009 01:05;triangle
Falcon;CO;01/01/2010 00:24;disk
Crestview;FL;01/01/2010 00:25;unknown
Aspen;CO;01/01/2010 00:30;chevron
Strabane (County Tyrone) (Northern Ireland);;01/01/2010 00:30;circle
Walworth;WI;01/01/2010 00:40;sphere
San Diego;CA;01/01/2010 01:00;sphere
Newcastle (UK/England);;01/01/2010 01:00;other
Stroud (UK/England);;01/01/2010 01:45;fireball
Burbage, Leicestershire (UK/England);;01/01/2010 12:00;circle
Willow;AK;01/01/2010 12:01;sphere
San Diego;CA;01/01/2010 12:02;triangle
Huddersfield (UK/England);;07/07/2008 23:08;triangle
Sebago;ME;08/07/2008 01:00;sphere
Vancouver;WA;08/07/2008 01:30;rectangle
Eden;NY;08/07/2008 09:40;unknown
Tampa;FL;08/07/2008 16:00;
Limassol (Cyprus);;08/07/2008 18:00;sphere
Kuttawa;KY;08/07/2008 21:15;light
Indianapolis;IN;08/07/2008 21:52;unknown
Bothell;WA;08/07/2008 23:59;light
Coaltownship;PA;09/07/2008 12:15;light
Solana Beach;CA;09/07/2008 19:00;disk
Kuwait;;09/07/2008 21:00;light
Uniontown;OH;29/11/2008 22:15;diamond
Waverly;OH;29/11/2008 22:20;chevron
Ashville;OH;29/11/2008 23:00;light
Oneonta;NY;30/11/2008 02:00;
Pounding Mill;VA;30/11/2008 13:00;light
Modesto;CA;30/11/2008 13:30;formation
Simi Valley;CA;30/11/2008 13:38;oval
Hollywood;CA;30/11/2008 15:00;light
Junction City;OR;30/11/2008 17:00;oval
Balapur, Hyderabad (India);;30/11/2008 19:30;sphere
Galveston;TX;30/11/2008 20:15;light
Fort Smith;AR;01/12/2008 00:15;light
Spring Hill;TN;08/02/2009 18:00;changing
Hampton;VA;08/02/2009 20:00;light
Waterloo;NY;08/02/2009 20:20;sphere
Port Reading;NJ;08/02/2009 20:30;disk
Farmville;VA;08/02/2009 23:05;
Syracuse;NY;09/02/2009 06:20;light
Monroe;WA;09/02/2009 08:00;cylinder
Penticton;BC;09/02/2009 11:00;sphere
Baltimore;MD;09/02/2009 18:14;rectangle
Salford (UK/England);;09/02/2009 21:20;changing
Salford (UK/England);;09/02/2009 21:20;changing
Westfield;IN;10/02/2009 00:57;unknown
Bethlehem;PA;09/03/2010 18:00;changing
San Antonio;TX;09/03/2010 20:50;sphere
La Palma;CA;09/03/2010 21:30;cigar
Huson;MT;10/03/2010 00:23;circle
Anaheim;CA;10/03/2010 00:45;disk
Moravian Falls;NC;10/03/2010 02:40;light
West liberty;IL;10/03/2010 03:00;triangle
Livermore;CA;10/03/2010 19:00;flash
Poth;TX;11/03/2010 10:00;triangle
Carlisle;PA;11/03/2010 19:00;triangle
Maywood;CA;;circle
Homer;PA;;
Beverly Hills;MI;11/11/2009 19:00;light
Kansas City;MO;12/11/2009 01:30;flash
Warrenton;MO;12/11/2009 01:35;fireball
Fulton;NY;12/11/2009 03:00;disk
Deatsville;AL;12/11/2009 05:08;light
Rochester;NY;12/11/2009 06:05;light
Nashville;TN;12/11/2009 06:50;unknown
Atlanta;GA;12/11/2009 08:17;sphere
Rochester;NY;12/11/2009 18:30;light
Winslow;ME;01/05/1987 23:00;unknown
Plymouth;OH;08/08/1988 22:00;triangle
Rheinland-Pfalz (Germany);;06/06/1989 02:00;sphere
Traverse City;MI;01/11/1990 19:00;light
Donnelly;ID;29/08/1991 03:00;unknown
Altivista;VA;10/08/1992 23:00;triangle
Kirkland;WA;15/06/1993 04:00;circle
Sumner;WA;05/01/1995 21:05;disk
Commerce City;CO;01/03/1997 12:30;sphere
Sierra Vista;AZ;15/10/1999 18:00;circle
Yadkinville;NC;25/10/1999 21:00;fireball
Augusta;GA;10/04/2010 13:00;oval
Warwick;RI;10/04/2010 21:00;
Camillus;NY;12/04/2010 00:00;cigar
Waxahachie;TX;12/04/2010 01:00;triangle
Aiken;SC;13/04/2010 08:30;triangle
rutland;MA;13/04/2010 11:11;circle
Pt. Pleasant;WV;13/04/2010 16:15;other
Moses Lake;WA;13/04/2010 20:30;sphere
Northfield;VT;13/04/2010 21:00;unknown
Mahomet;IL;13/04/2010 21:50;triangle
Sunnyside;WA;13/04/2010 22:15;fireball
Sunnyside;WA;13/04/2010 22:15;
Fremont;CA;25/09/2008 21:45;changing
Newport (UK/Wales);;25/09/2008 22:01;light
Bethel;OH;25/09/2008 23:00;circle
Lyas (France);;25/09/2008 23:15;other
Berlin;GA;26/09/2008 00:00;light
Houston;TX;26/09/2008 01:00;formation
Philapdlphia;PA;26/09/2008 01:00;diamond
Big Rapids;MI;26/09/2008 06:25;light
Orlando;FL;26/09/2008 07:25;changing
Martinez;CA;26/09/2008 13:52;oval
Denver;CO;26/09/2008 17:30;changing
Las Vegas;NV;26/09/2008 18:00;sphere
Windsor;ON;29/06/2009 15:53;unknown
Clarksville;TN;30/06/2009 21:00;light
Milwaukee;WI;01/07/2009 02:00;disk
Vergas;MN;02/07/2009 23:30;formation
Seattle;WA;04/07/2009 21:50;sphere
Seattle;WA;04/07/2009 22:30;light
Alpena;MI;04/07/2009 23:30;oval
Campos Altos (Brazil);;08/07/2009 01:00;rectangle
San  Jose;CA;09/07/2009 23:50;circle
Santa Rosa;CA;16/07/2009 00:00;light
Masontown;WV;10/07/2009 00:30;formation
Daytona Beach;FL;11/07/2009 04:50;other
Pioneer Town;CA;11/07/2009 11:00;unknown
Burbank;CA;11/07/2009 15:00;rectangle
Park Ridge;IL;11/07/2009 17:00;oval
Clinton;IA;11/07/2009 21:18;light
Dartmouth;NS;11/07/2009 21:30;triangle
Superior;WI;11/07/2009 22:00;light
Moundsville;WV;11/07/2009 22:00;circle
Sausalito;CA;11/07/2009 23:00;light
St. Petersburg;FL;11/07/2009 23:00;triangle
Dawsonville;GA;11/07/2009 23:00;other
Haverhill;MA;01/01/2010 13:00;triangle
Pasadena;CA;01/01/2010 17:20;triangle
Albuquerque;NM;01/01/2010 18:00;light
Jasper;FL;01/01/2010 18:30;sphere
Jilotepec (Mexico);;01/01/2010 19:00;diamond
Dublin (Ireland);;01/01/2010 22:30;unknown
Nottingham (UK/England);;02/01/2010 04:42;triangle
Orange;CA;02/01/2010 12:20;light
Phoenix;AZ;02/01/2010 13:00;rectangle
Sacramento;CA;02/01/2010 18:00;triangle
Waxhaw;NC;02/01/2010 20:12;sphere
Seattle;WA;09/07/2008 21:05;disk
Greenville;SC;09/07/2008 22:15;triangle
Yucca Valley;CA;09/07/2008 22:35;unknown
Jasper;IN;10/07/2008 00:35;circle
San Antonio;TX;10/07/2008 00:36;formation
Seattle;WA;10/07/2008 02:00;light
Green Island;NY;10/07/2008 11:55;light
??? (Australia);;10/07/2008 12:00;triangle
Chambersburg;PA;10/07/2008 13:46;other
Glenmont;NY;10/07/2008 17:30;sphere
Hyattsville;MD;10/07/2008 20:40;rectangle
Birkenhead (UK/England);;01/12/2008 04:05;diamond
San Marcos;CA;01/12/2008 06:00;light
Pine City;MN;01/12/2008 07:15;light
Brawley;CA;01/12/2008 19:00;changing
Merritt Island;FL;01/12/2008 20:07;circle
Clee Hill (UK/England);;01/12/2008 21:21;fireball
Fort Myers;FL;01/12/2008 21:40;light
Missouri City;TX;01/12/2008 22:15;oval
Borrego Springs;CA;02/12/2008 02:00;disk
Oakland;PA;02/12/2008 12:40;disk
Denver;CO;02/12/2008 13:00;changing
Hollister;NC;10/02/2009 12:00;cigar
Hickory;NC;10/02/2009 16:00;changing
Grover Beach;CA;10/02/2009 18:00;egg
Edgar Springs;MO;10/02/2009 18:20;light
Barnet (UK/England);;10/02/2009 18:22;triangle
Carta Valley;TX;10/02/2009 18:37;fireball
Hiawatha;IA;10/02/2009 18:55;other
Corryton;TN;10/02/2009 19:03;triangle
Gwent (UK/Wales);;10/02/2009 19:20;circle
Liverpool (UK/England);;10/02/2009 20:00;circle
Birmingham (UK/England);;10/02/2009 21:50;fireball
Los Angeles;CA;10/02/2009 22:00;oval
Havre;MT;11/03/2010 19:30;other
Havre;MT;11/03/2010 19:30;light
Shrewsbury (UK/England);;11/03/2010 22:05;sphere
South Charleston;OH;12/03/2010 00:00;unknown
Fuquay;NC;12/03/2010 03:13;flash
Tukwila;WA;12/03/2010 19:10;light
Erie;PA;12/03/2010 19:56;changing
Erie;PA;12/03/2010 19:56;changing
McKenzie;AL;12/03/2010 20:30;triangle
Destin;FL;12/03/2010 21:00;light
North Hollywood;CA;12/03/2010 21:00;
Akron;OH;;other
Belmont;NY;;circle
Washington;IN;;circle
Highway;KS;30/06/1972 21:00;circle
Woodlawn;VA;14/02/1974 21:00;fireball
Cairns (Australia);;15/07/1974 12:00;cigar
Colorado Springs;CO;15/10/1974 01:30;light
Carleton;QC;30/06/1975 07:00;disk
Clermont;IN;18/12/1975 00:30;disk
Kenosha;WI;15/08/1976 21:00;triangle
Emporia;KS;12/10/1976 23:00;disk
Cold Spring;KY;12/11/2009 19:45;other
Big Sandy;MT;12/11/2009 20:44;
Sioux City;IA;12/11/2009 21:00;flash
Buda;TX;12/11/2009 21:30;changing
Denton;TX;12/11/2009 23:15;light
Celina;TX;13/11/2009 01:15;circle
Harper;KS;13/11/2009 03:00;light
Camarillo;CA;13/11/2009 03:00;unknown
Port St Lucie;FL;13/11/2009 06:45;unknown
Phoenix;NY;13/11/2009 17:00;light
Stuart;FL;13/11/2009 18:45;unknown
Cincinnati;OH;13/11/2009 19:00;fireball
Springboro;PA;30/06/2000 15:00;circle
Portland;OR;15/10/2000 20:00;circle
Greensboro;NC;15/10/2000 22:00;oval
Tucson;AZ;20/06/2001 01:00;unknown
Licking;MO;03/02/2004 02:00;light
Pendleton;KY;15/06/2005 04:00;light
Saint Catharines;ON;19/05/2006 22:00;disk
Mucie;IN;30/06/2006 01:30;other
Jackson;AL;14/09/2007 23:23;triangle
Humble;TX;20/03/2008 19:50;triangle
Shamokin;PA;15/07/2008 15:00;cigar
Spokane;WA;05/08/2008 20:45;diamond
Hugo;MN;13/04/2010 22:30;sphere
Jersey City;NJ;13/04/2010 22:45;light
East Wenatchee;WA;14/04/2010 02:30;triangle
Limerick/Clare border (Ireland);;14/04/2010 04:30;oval
Andover;NY;14/04/2010 06:30;cylinder
Auburn;NY;14/04/2010 09:50;changing
Bowling Green;KY;14/04/2010 13:45;fireball
Boston (UK/England);;14/04/2010 17:08;sphere
Kent;WA;14/04/2010 20:55;other
Centerton;AR;14/04/2010 21:00;light
Santa Cruz;CA;14/04/2010 21:00;diamond
Remington;IN;14/04/2010 21:59;fireball
Spokane;WA;26/09/2008 19:00;triangle
Bay Minette;AL;26/09/2008 19:30;light
UK/Wales;;26/09/2008 20:10;light
Leeds (UK/England);;26/09/2008 20:15;other
Lacey;WA;26/09/2008 20:50;fireball
Morde, Surrey (UK/England);;26/09/2008 21:30;unknown
Cheyenne;WY;26/09/2008 23:25;triangle
Houston;TX;27/09/2008 00:00;light
Adelaide;OH;27/09/2008 00:30;light
Santa Rosa;NM;27/09/2008 00:30;fireball
City of Rocks National Reserve;ID;27/09/2008 03:30;unknown
Playa del Rey;CA;27/09/2008 04:48;flash
Hermann;MO;16/07/2009 14:20;diamond
Snohomish;WA;18/07/2009 15:00;sphere
Yakima;WA;18/07/2009 20:00;triangle
Bluetown;TX;18/07/2009 20:30;formation
Albany;OR;18/07/2009 21:15;changing
Faizabad (India);;19/07/2009 06:05;cigar
Henderson;NV;20/07/2009 10:00;disk
Ocean City;NJ;20/07/2009 22:00;light
Lake Superior;MI;22/07/2009 22:00;fireball
Oneonta;NY;24/07/2009 20:15;disk
Forest Lake;MN;27/07/2009 14:00;unknown
Las Vegas;NV;12/07/2009 02:30;light
Walnut;CA;12/07/2009 03:00;other
Northfield;MN;12/07/2009 03:25;unknown
Tulsa;OK;12/07/2009 04:00;fireball
London (UK/England);;12/07/2009 13:00;cylinder
San Jose;CA;12/07/2009 17:00;circle
Richmond;ME;12/07/2009 18:30;triangle
Oceanside;CA;12/07/2009 20:45;unknown
Dewey Beach;DE;12/07/2009 21:15;fireball
Pittsburgh;PA;12/07/2009 21:55;sphere
Brandon;FL;12/07/2009 23:00;circle
Sunderland (UK/England);;02/01/2010 20:15;changing
Loveland;CO;02/01/2010 23:17;cross
Atlanta;GA;02/01/2010 23:47;fireball
Trinity and Riverside;TX;03/01/2010 03:45;disk
Mason;OH;03/01/2010 04:00;circle
Flint, Flintshire (UK/Wales);;03/01/2010 18:25;light
Whitchurch (UK/England);;03/01/2010 19:30;fireball
Glen Spey;NY;04/01/2010 02:40;flash
Reedville;VA;04/01/2010 05:28;changing
Whittier;CA;04/01/2010 17:40;light
Ben Wheeler;TX;04/01/2010 19:00;light
Cedar Rapids;IA;04/01/2010 19:10;light
Kill Devil Hills;NC;10/07/2008 21:30;unknown
Southlake;TX;10/07/2008 23:00;light
Pittsburgh;PA;10/07/2008 23:35;unknown
Elizabethtown;KY;11/07/2008 00:40;triangle
Southlake;TX;11/07/2008 00:45;unknown
Kurseong (India);;11/07/2008 01:00;
Riverside;RI;11/07/2008 13:30;circle
Cardiff (UK/Wales);;11/07/2008 14:09;changing
Seattle;WA;11/07/2008 17:30;changing
Midland;WA;11/07/2008 17:30;circle
Monrovia (Liberia);;11/07/2008 17:55;circle
Lansing;IL;11/07/2008 20:50;triangle
Percy;IL;02/12/2008 17:18;unknown
Jackson;MS;02/12/2008 17:30;other
Plainfield;IN;02/12/2008 19:00;light
Louisville;KY;02/12/2008 19:25;unknown
Tracy;CA;02/12/2008 19:40;light
Crown Point;IN;02/12/2008 20:00;triangle
Grand Rapids;MI;02/12/2008 21:00;triangle
Brewerton;NY;02/12/2008 21:00;disk
Huntington Beach;CA;02/12/2008 21:15;light
Durham;NC;03/12/2008 00:00;diamond
San Antonio;TX;03/12/2008 00:29;oval
Durham;NC;03/12/2008 01:00;diamond
Azusa;CA;10/02/2009 23:00;circle
Fort Campbell;KY;11/02/2009 05:40;sphere
Essex;NC;11/02/2009 11:00;cigar
Brisbane (Australia);;11/02/2009 14:20;light
Cincinnati;OH;11/02/2009 17:45;cylinder
Indianapolis;IN;11/02/2009 19:30;triangle
Wenatchee;WA;11/02/2009 19:30;oval
Boulder;CO;11/02/2009 20:15;other
Mountain View;OK;11/02/2009 21:00;light
Spring Hill;TN;11/02/2009 21:00;light
Destin;FL;12/03/2010 21:10;circle
Crestview;FL;12/03/2010 21:20;circle
Ogden;UT;12/03/2010 21:23;light
Skelmersdale (UK/England);;12/03/2010 22:30;light
Medway;ME;13/03/2010 00:00;circle
Memphis;TN;13/03/2010 01:00;circle
Ephrata;WA;13/03/2010 07:45;light
Utrecht (Netherlands);;13/03/2010 11:00;disk
New York;NY;13/03/2010 18:00;sphere
Lynnwood;WA;13/03/2010 19:07;light
Edmonds;WA;13/03/2010 19:15;oval
Pleasant Hill;OR;15/04/1978 13:00;unknown
Lake Havasu;AZ;30/06/1978 21:00;triangle
Bartlett;IL;01/09/1978 22:00;disk
Faibourne (UK/Wales);;28/07/1983 14:00;other
Burnsville;MN;01/05/1984 20:00;rectangle
Kankakee;IL;20/06/1985 21:00;cylinder
East Sparta;OH;15/07/1986 22:00;other
Lawrenceville;NJ;09/04/1987 19:20;other
Klondyke;AZ;15/03/1988 00:00;cone
Fresno;CA;15/07/1989 21:00;fireball
Taylor Mill;KY;13/11/2009 19:35;fireball
Stockbridge;GA;13/11/2009 20:00;triangle
Apopka;FL;13/11/2009 20:15;light
Hickman;CA;13/11/2009 21:30;light
Sarasota;FL;13/11/2009 22:30;light
Toledo;OH;13/11/2009 23:00;light
Vancouver;BC;13/11/2009 23:15;fireball
Vancouver;BC;13/11/2009 23:15;fireball
Blacksburg;VA;14/11/2009 17:45;other
Rockingham;NC;14/11/2009 19:00;triangle
Farmingdale;ME;14/11/2009 19:00;flash
Redding;CA;01/11/2008 23:45;sphere
Mesa;AZ;10/02/2009 10:00;disk
Bass Lake;CA;17/05/2009 21:00;disk
Madison;WI;20/05/2009 22:00;sphere
Tempe;AZ;25/05/2009 00:00;
San Leandro;CA;28/05/2009 03:00;unknown
San Jose;CA;01/07/2009 15:00;changing
Highland;CA;10/07/2009 00:00;triangle
Mill Valley;CA;03/10/2009 22:00;other
Phoenix;AZ;27/10/2009 18:25;light
Santa Clarita County;CA;28/10/2009 19:30;unknown
Cedar Rapids;IA;14/04/2010 22:00;circle
Auburn;NY;14/04/2010 22:00;changing
Rochester;MN;14/04/2010 22:00;sphere
Little Neck;NY;14/04/2010 22:00;other
Coralville;IA;14/04/2010 22:03;fireball
Moline;IL;14/04/2010 22:04;circle
Lamoni;IA;14/04/2010 22:05;fireball
Onalaska;WI;14/04/2010 22:06;flash
Orion;IL;14/04/2010 22:07;fireball
Ogdensburg;WI;14/04/2010 22:10;fireball
Festus;MO;14/04/2010 22:08;circle
Tampa;FL;27/09/2008 11:30;oval
Tinley Park;IL;27/09/2008 13:00;light
Jacksonville Beach;FL;27/09/2008 15:15;flash
Las Vegas;NV;27/09/2008 17:00;sphere
Morden, Surrey (UK/England);;27/09/2008 19:00;unknown
Las Vegas;NV;27/09/2008 19:00;triangle
Castle Rock;CO;27/09/2008 20:40;light
Village of Oak Creek;AZ;27/09/2008 22:02;changing
Granger;IN;27/09/2008 22:30;light
Novi;MI;27/09/2008 23:20;sphere
Clinton;UT;27/09/2008 23:20;triangle
Old Forge;NY;27/07/2009 21:20;circle
Old Forge;NY;27/07/2009 21:20;circle
Quetico Provincial Park;ON;27/07/2009 23:30;light
Summerland;BC;28/07/2009 09:30;oval
Kingston;WA;28/07/2009 22:50;circle
Myrtle Beach;SC;29/07/2009 22:00;circle
Kent;WA;30/07/2009 00:00;flash
King City;ON;31/07/2009 01:30;triangle
Brandon;FL;31/07/2009 11:45;rectangle
Butler;MO;31/07/2009 21:30;light
Barrie;ON;12/07/2009 23:43;cigar
London (UK/England);;13/07/2009 00:10;
Commerce Township;MI;13/07/2009 00:20;light
Kettering;OH;13/07/2009 01:00;diamond
